Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2017,17,6.644237275,6.70811,7.01951,53204,3448,87
2017,18,6.392971914,6.60806,6.91921,52589,3299,63
2017,19,6.264081185,6.50482,6.81572,51931,3204,49
2017,20,6.194538272,6.39982,6.71048,52401,3193,53
2017,21,6.101921339,6.29452,6.60493,50902,3082,24
2017,22,5.923085951,6.19037,6.50053,51122,3004,24
2017,23,6.100640009,6.08882,6.39873,51093,3099,18
2017,24,6.091069202,5.99124,6.30091,50533,3059,19
2017,25,5.841258659,5.899,6.20842,51102,2970,15
2017,26,5.843924457,5.81333,6.12251,50514,2942,10
2017,27,5.570959432,5.73541,6.04434,50853,2817,16
2017,28,6.074831979,5.66628,5.97496,49845,3024,4
2017,29,5.489255372,5.60685,5.91528,50025,2736,10
2017,30,5.762973808,5.5579,5.86609,49176,2831,3
2017,31,5.361865833,5.52006,5.82801,49908,2672,4
2017,32,5.409397581,5.49379,5.80149,50098,2705,5
2017,33,5.35088948,5.47937,5.78682,49973,2663,11
2017,34,5.565256233,5.47694,5.78414,49252,2734,7
2017,35,5.327025101,5.48643,5.79338,50516,2684,7
2017,36,5.546125607,5.50762,5.81433,50666,2798,12
2017,37,5.825451,5.54011,5.84658,51275,2980,7
2017,38,5.728304564,5.58336,5.88958,50748,2892,15
2017,39,5.65219961,5.63664,5.94261,50759,2850,19
2017,40,5.774252641,5.7037,6.00967,51314,2947,16
2017,41,5.810693413,5.77907,6.08504,50648,2926,17
2017,42,6.030615457,5.86166,6.16763,50824,3039,26
2017,43,6.241252193,5.95029,6.25626,50727,3144,22
2017,44,6.047352461,6.04367,6.34964,51444,3075,36
2017,45,6.028950019,6.14046,6.44643,50639,3009,44
2017,46,6.246426248,6.23926,6.54523,50717,3121,47
2017,47,5.95012252,6.33864,6.64461,50604,2964,47
2017,48,6.48303994,6.43716,6.74313,50501,3196,78
2017,49,6.507021315,6.53341,6.83938,49777,3131,108
2017,50,6.770084848,6.62599,6.93196,50797,3295,144
2017,51,7.240850662,6.71356,7.01954,50878,3366,318
2017,52,8.177233429,6.79487,7.10085,49968,3527,559
2018,1,9.168818208,6.86874,7.17471,46091,3399,827
2018,2,9.698119803,6.9341,7.24007,40049,3032,852
